control_stratum,sampling_priority,loss,task_id,split,model,attack_family,K,sample_id,restart,step,p0_archived,p1_archived,A_sum_float64,p0_fp32,p1_fp32,B_sum_float32,B_sum_float64,abs_A_sum_error,abs_B32_sum_error,abs_B64_sum_error,original_checker_result,finite,in_range,class_alignment_valid,serialization_roundtrip_status,raw_artifact_identity_status,representation_C_status,classification,row_ordinal
checker_pass_minimum_abs_sum_error,911524988927779,cw,40a0fa16a3909fde86257be388ea37c22080ffbc69790fd11b78cec8d0484566,43,BiLSTM-ERM,phys_hybrid_pgd,50,907a9723ac75da12611a0f49f06a48344447ad389b6f82e3f0f8a41f55dbf0bc,1,13,0.614569008,0.385430992,1.0,0.6145690083503723,0.3854309916496277,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,67499405
checker_pass_minimum_abs_sum_error,913714901236570,cw,44f9dc4af12db2cdbe31c9c5ef4b9b801b090f2efe73b22f1e131018d82259e1,45,BiLSTM-ERM,phys_hybrid_pgd,20,c76fa57f18e8a39abad06cd513c16526b235ee329320a2ffcc5a0584e2f53eb5,1,19,0.500801146,0.499198854,1.0,0.500801146030426,0.499198853969574,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,89777867
checker_pass_minimum_abs_sum_error,914684217694142,cw,bffb51c0eb06c3f1579518307dd30dedceb3157d1685a4e88cb0b2c7f12aaa1e,42,BiLSTM-ERM,phys_penalty_pgd,50,b5d646958c7217d0fa5009b9f9212e6e96deec811d6100e057020d306458db27,2,46,0.516572118,0.483427882,1.0,0.516572117805481,0.48342788219451904,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,55050964
checker_pass_minimum_abs_sum_error,920024410171028,cw,21d52fbda090db9e8dc8938c5c07681e119803db3f68f6e05c0497a5e67b0ca5,45,BiLSTM-ERM,phys_projection_pgd,50,6a0457a90e5ab5c939ccd8393251efeda50980e5766ae803cc4a494a1a194cdb,0,29,0.516299427,0.483700573,1.0,0.5162994265556335,0.48370057344436646,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,88007899
checker_pass_minimum_abs_sum_error,922070080880746,cw,b084e4fe600a54fcfc76dfac1f82617d83bf059c43ed6eb8c4770f790b8834db,42,BiLSTM-ERM,phys_projection_pgd,50,bb1a1bcb3db3e342e78c0a6572d67856666f75e0552779542ae8971848763c46,4,17,0.502788305,0.497211695,1.0,0.5027883052825928,0.4972116947174072,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,53121419
checker_pass_minimum_abs_sum_error,925306996367225,cw,019976c24b952a2b2529cba0dba69a7d4f1fdb8e478a31bcb057e965fd09f93c,45,BiLSTM-ERM,norm_pgd,50,7c578fd74fcf24b2d146bdb3dfb80a7853f799ae7df16ab922f8564fb7b2b4a4,4,47,0.533557296,0.466442704,1.0,0.5335572957992554,0.46644270420074463,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,87116080
checker_pass_minimum_abs_sum_error,925408640761381,cw,61e8274183d6a8dca543037e120c094eac2f53f8a5577c7b8a46e2ee5ec2bb1e,42,CAT-AD,norm_pgd,50,4027894c696f3ba5b9bc9e760877c87b1d12c8410fa215627c97eb5c927cadfc,1,35,0.627540588,0.372459412,1.0,0.6275405883789062,0.37245941162109375,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,57125431
checker_pass_minimum_abs_sum_error,927300769010208,cw,0aae0c737409c0ebc931b59528d668295dbb4052194413cdd356c15744f5262f,43,BiLSTM-ERM,phys_projection_pgd,20,9a1eb2ad4a9017c19ecb6ca68524f0ab77591b90e3afba49f013aec5456980cc,1,8,0.598295391,0.401704609,1.0,0.5982953906059265,0.4017046093940735,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,64196033
checker_pass_minimum_abs_sum_error,931457897005178,cw,ec95168cef019d4b2bff1abe2dfbb0b631e166b5f343cb9280c7abb0e7a5c296,42,BiLSTM-ERM,phys_hybrid_pgd,50,5d899f812b1280180323995e6fc5b2f7364a7c4953bed919dd3affa2a3f7b995,0,17,0.516930103,0.483069897,1.0,0.516930103302002,0.48306989669799805,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,55645460
checker_pass_minimum_abs_sum_error,932307308890935,cw,019976c24b952a2b2529cba0dba69a7d4f1fdb8e478a31bcb057e965fd09f93c,45,BiLSTM-ERM,norm_pgd,50,c14d25a04a6053371459424c125a2ed7adb48e429b53f771d5b1888cc1b14d08,2,9,0.715984344,0.284015656,1.0,0.7159843444824219,0.2840156555175781,1.0,1.0,0.0,0.0,0.0,False,True,True,True,ROUNDTRIP REPRESENTATION CONSISTENT,PRIOR_FULL_IDENTITY_GATE_PASS_EXCEPT_SUM_AND_CURRENT_AGGREGATE_ROW_READABLE,NOT AVAILABLE,CHECKER_PASS_CONTROL,86706835
